subject,condition,n,mean_V0,mean_A1,mean_A2,mean_R,sem_R,mean_MSE,sem_MSE
HOU_D,CameraJumpMoveMinusCompensate,3,0.9793333333333333,1.588,1.173,2.049400499492422,0.12977966044971526,2.0235698054505544,0.224969047016177
HOU_D,CameraJumpMovePlusCompensate,3,0.9940000000000001,1.4999999666666666,0.5159999333333333,1.6282780774469063,0.328204698812449,1.3713708801287698,0.4206804126263138
HOU_D,LuminanceLinearMix,3,1.0186666666666666,1.1219999999999999,0.6880000000000001,1.3044029073209769,0.18832489888344806,0.9233149588080868,0.2558942555218634
HOU_D,LuminanceLinearMix_Previous,1,0.951,0.275,0.92,1.009696454945248,0.0,0.46234863879402865,0.0
HOU_D,LuminanceMinusCompensate,3,0.9986666666666667,1.1379999666666667,1.0089999666666667,1.5740338340577775,0.021906123136336858,1.240019006163845,0.05242654310741447
HOU_D,LuminancePlusCompensate,3,1.022,1.455,0.460999975,1.507650328704563,0.2066988062150554,1.3120404435841375,0.38662772310420673
KK_F,CameraJumpMoveMinusCompensate,3,0.9406666666666667,1.31,0.823,1.6470418768155595,0.050326850781539686,1.2240627534577375,0.13815311993223678
KK_F,CameraJumpMovePlusCompensate,3,0.9193333333333333,1.4320000000000002,-0.828,1.813335377220245,0.1901863349144393,1.4289011538012908,0.27607854387031805
KK_F,LuminanceLinearMix,3,0.8626666666666667,0.8750000333333333,0.0,1.077484089351824,0.023827214230846726,0.4827179823636774,0.07863411289375312
KK_F,LuminanceLinearMix_Previous,1,1.129,0.815,0.86,1.0494519146216092,0.0,0.7181393153870065,0.0
KK_F,LuminanceMinusCompensate,3,1.0086666666666668,-0.383,0.164,0.8421681976417356,0.14907141712439165,0.371073202959279,0.1020559658146933
KK_F,LuminancePlusCompensate,3,0.9526666666666667,0.3009999666666667,0.023000013333333343,1.0296008176534865,0.049913910325947594,0.506147575265908,0.0825597645672593
LL_E,CameraJumpMoveMinusCompensate,3,0.9853333333333333,0.08199998666666668,0.09300000000000001,1.1528247298750214,0.12177350506685684,0.6650349429921988,0.1306240297124972
LL_E,CameraJumpMovePlusCompensate,3,0.9899999999999999,0.012999999999999984,0.3670000033333333,0.9386122693917088,0.3692839781986444,0.6726205146771181,0.3243356571290912
LL_E,LuminanceLinearMix,3,0.9753333333333334,1.3629999666666668,0.7389999999999999,1.6432833488169258,0.149968663856273,1.4115324947934937,0.3483726096984681
LL_E,LuminanceLinearMix_Previous,1,1.027,-0.278,-0.292,0.39257295004053094,0.0,0.08184203318812655,0.0
LL_E,LuminanceMinusCompensate,3,1.2573333333333334,0.793,-0.122,0.7452285418383532,0.06676393668072332,0.8654665147341705,0.5197203754599001
LL_E,LuminancePlusCompensate,3,1.0706666666666667,0.9049999999999999,-0.02100000000000002,1.1133209477363348,0.07167938093149298,0.7498294386512718,0.15873327285527977
OMU_B,LuminanceLinearMix_Previous,1,1.131,0.522,-0.223,0.5018904411373885,0.0,0.17798184418474436,0.0
ONO_C,LuminanceLinearMix_Previous,1,1.067,0.632,0.461,0.7331482055037579,0.0,0.3113033170358792,0.0
YAMA_A,LuminanceLinearMix_Previous,1,0.992,0.54,-0.528,0.7613283376238499,0.0,0.2845428739117402,0.0
